Age,Gender,Country,Occupation,Marital Status,Daily Social Media Time (hrs),Daily Entertainment Time (hrs),Daily Messaging Time (hrs),Daily Video Content Time (hrs),Daily Gaming Time (hrs),Primary Platform,Screen Time (hrs),Device Type,Internet Speed (Mbps),Data Plan Used,Social Media Fatigue Level (scale 1-10),Digital Well-being Awareness,Tech Savviness Level (scale 1-10),Average Sleep Time (hrs),Sleep Quality (scale 1-10),Social Isolation Feeling (scale 1-10),Physical Activity Time (hrs),Monthly Income (USD),Monthly Expenditure on Entertainment (USD),Subscription Platforms,Preferred Content Type,Primary Social Media Goal,Preferred Entertainment Platform,Time Spent in Online Communities (hrs),News Consumption Time (hrs)
63,Female,India,Professional,Married,1.43,1.22,1.55,6.72,2.69,Facebook,8.64,Tablet,40.81,10GB,3,Moderate,3,7.14,5,9,2.72,2481.36,426.27,1,News,Education,Spotify,2.85,0.76
55,Other,Australia,Student,Widowed,7.59,5.42,4.01,2.1,3.44,Twitter,4.62,PC,75.7,Unlimited,8,Low,3,5.55,2,7,2.52,7585.69,283.66,2,News,Networking,YouTube,0.98,2.93
28,Other,UK,Professional,Married,7.78,8.87,1.1,5.26,0.44,Facebook,5.49,Smartphone,14.12,10GB,1,High,3,4.6,4,4,1.71,1716.01,379.47,5,Short Videos,Education,Netflix,1.29,2.17
18,Female,Canada,Professional,Single,4.34,8.51,2.48,6.75,4.83,Facebook,3.38,Tablet,85.84,50GB,9,High,6,6.27,8,8,1.15,936.81,476.01,3,Short Videos,Entertainment,YouTube,1.35,1.18
48,Other,Australia,Unemployed,Single,5.04,4.03,4.62,5.55,0.43,Facebook,10.76,PC,37.4,Unlimited,5,Low,5,8.66,2,6,0.54,6271.51,322.52,5,Movies,Entertainment,YouTube,2.68,2.83
35,Other,Australia,Student,Divorced,3.89,2.67,1.51,4.49,0.74,Twitter,11.08,Tablet,89.06,50GB,9,Moderate,7,6.24,1,6,1.5,886.53,464.53,2,Series,News,YouTube,3.48,2.66
19,Male,Germany,Student,Divorced,0.73,8.74,2.38,1.33,3.4,Facebook,9.72,Smartphone,38.26,10GB,1,Moderate,2,6.0,9,1,2.98,526.44,198.98,4,Movies,Entertainment,Amazon Prime,0.37,2.5
38,Female,Canada,Retired,Widowed,1.67,3.04,3.07,5.01,0.88,Facebook,7.13,Tablet,51.24,Unlimited,2,Low,5,8.04,2,8,1.75,3663.48,495.14,0,News,Entertainment,Amazon Prime,2.77,2.38
14,Male,Canada,Unemployed,Divorced,7.26,8.31,4.14,6.35,0.87,Facebook,10.9,PC,95.66,50GB,4,Moderate,1,5.36,1,9,0.66,8361.28,478.8,5,Movies,Education,Spotify,3.97,1.79
60,Male,Australia,Unemployed,Widowed,1.5,3.03,3.54,3.96,0.97,Twitter,5.94,Tablet,6.32,10GB,2,Moderate,2,5.85,8,1,1.78,7858.94,295.92,5,News,Networking,Amazon Prime,2.8,0.38
26,Female,USA,Unemployed,Widowed,7.45,9.85,4.14,2.23,3.81,Facebook,3.54,Smartphone,53.46,50GB,8,Moderate,7,7.44,1,2,2.67,3640.85,415.46,2,Movies,News,Amazon Prime,3.22,2.49
47,Female,Australia,Unemployed,Married,3.72,3.92,0.97,2.85,3.83,YouTube,6.7,Tablet,73.6,Unlimited,5,Low,1,7.34,6,7,0.91,9363.43,87.0,4,Short Videos,Entertainment,Spotify,3.27,0.16
29,Male,USA,Retired,Single,0.92,2.93,2.8,4.54,0.52,TikTok,10.73,Smartphone,69.53,Unlimited,2,Low,1,5.01,5,9,2.26,4440.09,452.78,2,Movies,Networking,Netflix,2.59,1.37
40,Other,USA,Professional,Married,7.27,6.19,3.8,6.29,2.49,TikTok,5.53,Smartphone,12.02,Unlimited,3,Low,9,6.99,6,6,0.05,7808.56,412.09,0,Series,Entertainment,Spotify,1.93,2.62
41,Other,Germany,Unemployed,Widowed,1.13,3.92,3.61,2.43,4.2,YouTube,5.88,Smartphone,31.36,50GB,6,Low,7,8.0,7,1,2.43,1498.77,176.55,0,Movies,Entertainment,Spotify,0.74,1.68
22,Other,Canada,Professional,Single,1.12,8.2,1.73,4.75,4.23,Facebook,9.54,Tablet,48.58,10GB,6,Low,9,6.78,3,8,0.5,2837.5,73.88,5,News,Entertainment,YouTube,2.5,2.0
63,Female,Canada,Unemployed,Widowed,1.05,7.46,3.31,5.57,4.34,Twitter,4.23,Smartphone,9.02,10GB,1,Low,1,5.04,1,7,0.47,5823.61,419.18,5,Short Videos,Networking,YouTube,0.66,2.08
53,Male,USA,Retired,Divorced,6.9,6.51,2.8,1.07,3.55,TikTok,2.66,Tablet,54.52,50GB,3,High,2,4.47,5,7,0.27,8167.85,188.51,1,News,Entertainment,YouTube,2.94,2.84
61,Other,USA,Unemployed,Married,3.79,4.51,0.86,1.29,0.05,YouTube,9.07,Tablet,43.76,10GB,1,Moderate,4,8.75,3,5,0.11,6525.11,461.23,5,News,Entertainment,Netflix,2.25,0.04
59,Female,India,Unemployed,Divorced,5.69,8.43,4.83,4.41,0.89,Facebook,10.82,PC,9.44,10GB,6,Low,9,7.23,3,9,0.59,2756.37,439.74,4,News,News,Amazon Prime,3.53,1.63
44,Female,USA,Professional,Single,3.99,3.41,2.59,2.88,1.07,TikTok,9.79,Smartphone,73.38,50GB,1,Low,2,5.43,9,8,0.7,2027.25,274.86,1,News,News,Spotify,3.58,1.22
60,Other,UK,Professional,Married,0.91,3.31,3.95,2.6,0.23,Facebook,5.51,Smartphone,34.63,Unlimited,7,High,5,6.37,9,9,1.79,1274.91,112.74,4,Series,News,YouTube,1.23,0.48
17,Male,Canada,Retired,Married,7.61,1.37,2.72,4.47,4.41,Facebook,11.86,PC,71.31,50GB,9,High,8,6.61,4,6,1.26,8338.44,415.14,1,Movies,Networking,Spotify,0.85,0.86
23,Female,Australia,Unemployed,Married,6.13,5.85,4.25,1.22,4.24,YouTube,5.8,PC,5.76,10GB,7,Moderate,8,7.76,1,7,2.98,910.22,114.93,1,Short Videos,Education,Amazon Prime,2.31,0.5
15,Female,Canada,Professional,Single,6.57,7.12,2.72,6.84,1.32,TikTok,5.27,Tablet,12.24,10GB,8,High,2,8.65,8,3,2.5,9860.43,237.2,2,Movies,News,YouTube,1.54,0.75
29,Female,Canada,Unemployed,Married,4.81,7.27,0.4,5.43,0.69,Instagram,5.23,PC,69.19,50GB,6,Low,3,4.19,8,7,2.08,2145.04,228.29,3,Series,Education,YouTube,3.7,1.44
33,Male,UK,Unemployed,Married,3.74,8.68,4.45,1.37,2.25,Twitter,8.58,PC,31.87,Unlimited,9,Low,3,8.58,2,3,1.44,3553.73,430.0,2,Short Videos,Education,YouTube,2.2,1.42
27,Male,USA,Retired,Married,7.99,5.89,0.32,5.82,4.57,YouTube,4.14,Smartphone,81.12,Unlimited,6,High,1,5.97,1,7,0.78,7532.69,63.68,2,News,Education,Spotify,2.7,1.68
56,Female,USA,Unemployed,Single,7.51,0.74,4.99,6.41,0.88,TikTok,3.4,Tablet,13.56,Unlimited,6,Low,1,9.0,6,9,0.98,7458.57,170.55,0,Movies,Education,Spotify,3.7,0.14
31,Female,USA,Unemployed,Widowed,5.15,2.17,1.74,5.19,0.38,YouTube,5.09,PC,38.22,10GB,9,High,8,8.92,7,1,1.04,7969.88,126.0,4,Movies,News,Spotify,2.14,2.6
27,Other,USA,Retired,Widowed,2.86,5.83,1.99,4.33,0.23,YouTube,8.37,Tablet,50.53,50GB,4,Low,9,4.89,2,8,2.68,1536.1,352.38,5,Series,News,Spotify,3.99,0.19
41,Male,Australia,Professional,Widowed,2.12,3.52,0.43,1.91,1.33,Twitter,10.05,Tablet,78.25,Unlimited,8,Low,3,6.49,9,7,0.35,968.7,79.43,4,Movies,Education,Netflix,3.45,2.0
20,Female,UK,Professional,Married,2.07,8.71,2.92,3.54,4.75,TikTok,4.56,Tablet,46.85,50GB,3,High,9,5.29,9,2,0.99,5994.96,158.13,3,Series,Education,Spotify,3.6,2.91
54,Other,USA,Retired,Divorced,6.51,2.67,2.88,2.94,2.66,Facebook,6.53,Smartphone,51.06,Unlimited,2,Low,3,4.52,1,2,2.43,1604.52,398.52,5,Series,Networking,Netflix,3.93,1.29
16,Other,USA,Unemployed,Single,2.33,2.93,3.82,0.91,1.88,YouTube,3.03,Smartphone,8.87,50GB,1,Moderate,6,5.25,1,1,1.27,6607.36,380.26,3,News,Education,Netflix,1.32,1.53
64,Other,Australia,Professional,Divorced,5.02,8.51,2.27,5.59,1.13,Instagram,9.51,PC,22.96,Unlimited,9,High,9,4.46,7,2,0.99,1349.37,71.03,1,Series,Entertainment,Spotify,2.62,2.21
53,Male,UK,Student,Widowed,6.82,6.02,3.21,2.29,3.88,YouTube,7.49,PC,54.12,10GB,8,Low,7,6.26,2,7,0.1,3259.1,137.82,4,Short Videos,News,Amazon Prime,0.13,0.47
23,Other,UK,Professional,Married,4.12,3.47,1.83,1.23,1.6,Twitter,4.88,Smartphone,97.61,50GB,2,Low,7,8.43,6,1,2.43,8009.58,177.66,3,News,Networking,YouTube,2.58,2.14
13,Other,Australia,Student,Divorced,4.53,9.26,2.09,5.52,2.65,Facebook,8.52,Smartphone,39.13,50GB,2,High,4,5.19,1,4,0.41,5811.78,65.65,4,Short Videos,Entertainment,Netflix,3.29,0.9
55,Female,Australia,Student,Married,0.75,3.65,2.33,1.12,2.34,YouTube,4.62,Smartphone,61.14,10GB,1,Low,7,8.73,9,2,1.06,1226.25,324.75,2,Series,Networking,Amazon Prime,1.52,1.46
49,Other,Australia,Student,Divorced,1.5,1.71,2.17,0.73,1.17,YouTube,5.51,Smartphone,45.54,50GB,5,Low,5,5.99,6,7,1.13,9577.59,221.1,1,Series,Education,YouTube,2.76,0.97
50,Other,Canada,Unemployed,Married,5.53,8.0,0.97,2.89,3.71,Facebook,11.05,Tablet,44.39,50GB,3,Moderate,9,6.95,1,2,1.18,3451.49,39.88,0,Series,News,YouTube,1.13,1.85
53,Female,Germany,Student,Widowed,7.25,4.91,2.85,3.1,2.14,Twitter,11.41,Smartphone,9.79,10GB,1,Low,2,7.98,3,9,2.8,884.64,272.88,1,Series,Networking,Netflix,0.97,1.04
16,Male,Canada,Retired,Single,4.83,5.05,4.43,1.71,2.41,Twitter,6.86,Smartphone,8.99,10GB,6,Low,1,5.25,3,9,0.71,4970.31,359.34,5,Short Videos,Education,Amazon Prime,2.95,0.54
31,Female,Germany,Student,Widowed,1.17,1.03,2.6,5.51,3.88,Facebook,8.37,Tablet,50.69,10GB,5,High,4,7.12,2,5,1.93,1006.08,459.84,2,News,Education,Amazon Prime,1.01,1.88
19,Female,India,Retired,Divorced,4.9,9.7,3.98,6.95,2.05,Instagram,3.1,Smartphone,87.94,50GB,2,Low,2,8.38,7,5,2.24,1689.11,231.7,0,News,Networking,Netflix,4.0,1.96
57,Male,UK,Unemployed,Divorced,6.05,3.09,2.94,6.82,4.27,Instagram,3.44,Tablet,9.84,10GB,8,Low,9,6.13,3,3,0.41,4921.12,28.78,5,Movies,Networking,YouTube,2.28,2.31
45,Other,India,Unemployed,Divorced,0.89,3.32,1.56,5.7,0.26,Twitter,9.23,Smartphone,66.36,10GB,8,Low,3,6.16,5,8,0.61,5351.15,439.16,3,Movies,Entertainment,Netflix,3.64,2.73
30,Other,Canada,Student,Widowed,5.71,3.03,3.2,2.5,2.13,Instagram,5.79,Tablet,62.29,50GB,1,High,7,6.34,8,6,0.71,1344.91,395.41,1,News,Networking,Amazon Prime,0.43,0.99
16,Other,Australia,Student,Married,2.98,7.68,0.45,3.63,0.33,YouTube,11.08,Smartphone,45.79,50GB,9,Moderate,3,6.5,9,4,0.18,1833.86,475.19,5,Movies,Entertainment,Amazon Prime,0.06,1.96
29,Female,UK,Professional,Widowed,1.66,9.35,4.2,3.99,3.16,YouTube,8.14,Smartphone,84.89,Unlimited,5,Low,6,4.48,4,1,2.24,1617.31,110.98,4,Short Videos,Education,Spotify,3.41,0.7
29,Male,India,Retired,Married,6.74,4.2,0.41,4.45,2.96,Facebook,3.02,PC,85.72,50GB,7,High,3,4.69,1,6,1.33,8097.66,282.74,4,Series,Education,Netflix,1.3,2.15
50,Other,Australia,Student,Single,6.31,4.08,3.25,6.65,4.38,Facebook,6.05,Smartphone,6.84,Unlimited,7,Low,8,4.61,2,8,2.25,8323.31,233.0,1,Series,Education,Netflix,3.32,2.39
46,Female,UK,Professional,Married,6.08,4.52,1.55,3.71,4.2,Facebook,9.35,Tablet,57.35,50GB,6,Moderate,1,4.08,3,7,0.57,5476.27,176.38,2,Movies,Entertainment,YouTube,0.54,2.04
59,Female,USA,Student,Married,5.71,7.05,1.39,0.53,1.22,Twitter,7.77,Tablet,22.65,50GB,2,Low,5,7.85,2,5,2.17,4512.57,204.6,1,Short Videos,Education,Amazon Prime,0.95,0.47
37,Male,Canada,Unemployed,Single,3.9,9.0,2.33,2.96,2.07,Instagram,4.38,PC,10.98,10GB,8,Low,7,7.08,4,1,2.34,8945.8,207.42,2,News,News,YouTube,1.08,0.33
19,Female,Australia,Retired,Divorced,3.39,6.81,2.27,5.98,3.09,TikTok,11.36,PC,90.56,50GB,5,High,5,4.81,3,9,1.9,9360.91,229.79,0,News,News,Amazon Prime,1.88,1.25
50,Female,Australia,Retired,Married,5.19,9.18,0.98,5.01,1.62,Twitter,4.9,Tablet,63.14,50GB,2,Low,2,6.2,9,5,2.55,9365.44,489.07,5,Series,Education,Amazon Prime,3.74,1.81
52,Male,USA,Student,Single,1.0,6.01,0.54,1.19,0.73,Twitter,5.26,Smartphone,29.06,50GB,4,Low,9,7.15,9,3,0.59,2721.62,277.55,2,Movies,Networking,Netflix,1.45,2.83
42,Female,UK,Unemployed,Widowed,5.52,2.58,3.62,3.34,3.11,Facebook,9.5,Tablet,27.42,Unlimited,1,Moderate,7,5.05,6,9,2.44,2973.62,186.72,5,Movies,News,Spotify,0.53,1.12
53,Other,UK,Student,Single,7.02,8.18,3.52,5.66,1.17,YouTube,7.21,Smartphone,48.83,Unlimited,1,High,1,8.95,7,2,1.64,4979.15,164.38,5,Movies,News,Spotify,2.89,0.76
38,Other,USA,Unemployed,Married,7.62,2.43,3.38,5.94,4.12,TikTok,4.17,Tablet,16.79,Unlimited,2,Moderate,2,5.15,7,4,2.58,4201.32,66.83,4,Movies,Education,Netflix,3.33,0.14
40,Female,UK,Retired,Married,4.05,5.47,2.09,4.1,1.53,Facebook,4.76,PC,23.7,Unlimited,8,Moderate,8,8.59,7,5,1.99,9340.19,393.76,0,Short Videos,Education,YouTube,3.3,2.77
35,Male,UK,Unemployed,Widowed,1.41,4.59,2.47,3.85,3.44,YouTube,8.15,PC,85.53,Unlimited,7,Low,4,7.44,2,9,0.42,6182.19,494.21,0,Movies,Entertainment,YouTube,3.08,0.63
14,Other,Germany,Professional,Single,2.78,9.03,3.0,5.07,1.04,Instagram,9.66,Smartphone,96.9,10GB,7,Low,8,5.57,8,9,2.25,6649.97,3.88,2,Short Videos,Entertainment,Netflix,2.4,0.53
18,Female,Australia,Retired,Divorced,1.7,4.37,0.32,6.76,0.03,Twitter,9.85,Smartphone,49.14,50GB,3,Low,7,8.67,6,7,1.25,2081.42,425.46,3,News,Networking,Netflix,2.06,1.69
14,Male,Canada,Student,Divorced,7.26,8.22,3.66,0.98,1.65,YouTube,2.78,Tablet,55.26,Unlimited,3,High,9,4.42,8,8,0.45,8493.94,289.09,5,News,Entertainment,Netflix,1.28,0.32
46,Female,USA,Professional,Widowed,6.84,4.98,4.51,2.83,2.04,Facebook,4.35,PC,46.25,Unlimited,3,Low,3,6.74,1,4,1.96,4041.87,348.71,0,Short Videos,Networking,Spotify,1.84,0.27
29,Other,Germany,Retired,Widowed,7.48,3.81,4.76,6.98,1.03,TikTok,6.54,PC,81.38,Unlimited,8,Low,4,4.94,1,9,2.04,9179.97,191.57,1,Short Videos,News,Amazon Prime,2.46,0.2
39,Other,USA,Unemployed,Single,7.55,6.17,3.7,6.62,4.17,YouTube,9.76,PC,33.87,50GB,2,Low,4,5.42,3,7,0.37,7560.21,463.75,3,News,Education,Spotify,0.83,0.13
60,Other,India,Unemployed,Widowed,1.64,3.93,3.3,2.49,2.36,Twitter,10.76,Smartphone,61.1,10GB,6,High,2,6.94,6,8,2.79,9365.76,93.45,1,Series,Networking,Netflix,2.98,1.24
25,Male,Germany,Student,Single,2.87,3.51,3.12,1.55,0.58,YouTube,8.83,Smartphone,22.73,50GB,9,High,6,8.33,4,3,2.77,7895.82,135.41,4,Movies,News,Spotify,3.64,2.59
34,Other,India,Retired,Widowed,7.45,9.72,4.0,5.72,3.34,TikTok,8.93,PC,85.38,Unlimited,5,High,5,6.21,4,3,1.9,5921.32,337.14,5,Short Videos,Education,YouTube,2.56,2.6
52,Male,India,Professional,Married,5.75,9.72,4.45,3.83,2.18,TikTok,10.47,Tablet,93.89,50GB,4,High,1,5.27,5,3,0.73,4752.93,289.72,2,News,Entertainment,YouTube,3.61,1.39
24,Other,USA,Student,Divorced,7.31,7.4,1.8,5.14,3.29,Facebook,2.44,Smartphone,72.03,Unlimited,9,Low,2,7.74,5,3,0.13,3835.81,26.92,1,Short Videos,Education,Spotify,1.28,2.87
17,Female,Canada,Unemployed,Widowed,2.37,9.31,1.12,2.1,4.97,Instagram,5.38,Tablet,80.21,50GB,6,Moderate,7,8.18,6,2,0.95,8904.95,461.26,0,Series,Networking,Spotify,1.33,0.34
28,Male,Germany,Unemployed,Married,6.66,8.79,0.63,2.19,3.0,TikTok,10.09,Tablet,58.09,10GB,1,High,9,6.11,5,7,1.07,1002.74,217.67,5,News,Education,Netflix,3.42,0.29
21,Male,UK,Unemployed,Divorced,7.68,3.83,1.23,5.67,4.88,Instagram,3.07,PC,39.92,50GB,6,Low,5,7.84,8,2,0.94,2200.46,57.49,2,Movies,Education,Netflix,1.15,0.16
61,Male,Germany,Professional,Single,2.37,8.36,2.67,0.71,2.18,YouTube,4.37,Tablet,52.14,10GB,5,High,2,5.16,5,9,0.62,2842.36,197.24,2,Movies,Entertainment,Netflix,0.38,1.32
55,Other,Australia,Retired,Married,7.29,8.41,2.43,4.9,0.74,YouTube,9.28,Tablet,12.06,50GB,9,Moderate,4,4.28,6,9,0.7,1201.71,347.36,5,Short Videos,Networking,YouTube,2.45,2.05
45,Female,Canada,Retired,Divorced,6.92,7.79,4.12,2.12,4.13,Instagram,10.94,Tablet,54.57,Unlimited,1,Low,1,4.06,7,6,1.25,3054.8,61.42,4,Short Videos,Education,Spotify,1.85,0.82
58,Female,Canada,Retired,Married,2.67,2.54,2.19,1.56,4.74,YouTube,9.85,PC,83.54,10GB,8,High,3,8.09,9,2,0.97,1795.85,19.18,4,Movies,Entertainment,Netflix,1.6,0.35
54,Other,UK,Unemployed,Married,0.56,6.55,3.58,1.25,2.13,Facebook,9.97,Smartphone,45.3,50GB,8,High,4,7.43,7,1,2.22,8559.2,69.52,2,Short Videos,News,Spotify,0.22,0.64
22,Female,UK,Retired,Married,5.82,6.5,1.46,2.61,3.92,Twitter,6.29,PC,38.82,10GB,8,Low,2,4.31,8,7,1.87,4338.69,1.13,0,Short Videos,Networking,YouTube,2.05,1.49
59,Female,USA,Professional,Married,3.09,8.1,3.37,3.42,3.74,YouTube,6.36,Tablet,5.81,50GB,1,Moderate,6,4.11,9,6,2.65,503.34,11.62,4,News,Networking,Spotify,2.09,2.37
41,Other,Australia,Student,Single,1.99,4.41,0.9,5.09,0.7,Instagram,2.29,Tablet,32.76,10GB,8,High,4,8.78,6,4,1.41,2880.24,396.16,4,News,Networking,Amazon Prime,1.19,2.2
